1880,2,РУВД Бостандыкского района,ст.188 ч.1,11/21/18 21:10,null,null,1142384.933,4808169.22
1880,2,р-н им.Казыбек би г.Караганды  Центральный ОП,ст.188 ч.1,12/10/18 12:00,ЕРУБАЕВА,51,794598.9846,5524743.371
1880,2,"Городской отдел полиции ""Батыс (Запад)""",ст.188 ч.2,12/8/18 18:00,МУШЕЛТОЙ,2,1236883.042,5026055.051
2870,1,РУВД Турксибского района,ст.287 ч.2,12/10/18 2:10,Кассина,67,1143605.224,4826585.941
1880,2,Мугалжарский район МВД,ст.188 ч.1,12/10/18 18:50,жастык,1,-339057.2883,5543360.445
3070,1,Департамент государственных доходов по г.Астана,ст.307 ч.1,12/10/18 10:00,КЕНЕСАРЫ,104/44,672434.9619,5670658.371
2930,1,Енбекшиказахский район МВД,ст.293 ч.1,12/10/18 20:52,МАҒЖАН ЖҰМАБАЕВ,23,1182945.421,4835647.019
1900,1,Центральный район г.Семипалатинск МВД,ст.190 ч.1,5/29/18 16:00,ЖУСУПБЕКА АЙМАУТОВА,147,1298866.185,5646859.163
1870,1,Район Габита Мусрепова МВД,ст.187 ч.1,10/30/18 12:00,null,null,381798.878,5824842.224
2930,1,Октябрьский р-н г.Караганды УВД,ст.293 ч.1,12/10/18 20:00,14,19,802676.7939,5534898.844
1900,1,Мамлютский район МВД,ст.190 ч.1,12/9/18 14:00,АБАЙ,37,1148828.898,4834136.011
1880,2,РУВД Бостандыкского района,ст.188 ч.1,12/10/18 3:00,null,null,1144150.962,4809878.942
1880,2,г.Тараз МВД Железнодорожный район (ОП-3),ст.188 ч.1,12/10/18 2:00,НОВОСТРОЙКА,1,691934.4104,4754107.248
1900,1,Заводской ОП г.Актобе,ст.190 ч.1,10/5/18 11:00,null,null,-342775.3553,5640073.139
1890,2,Мунайлинский район МВД,ст.189 ч.2,12/10/18 10:00,null,null,-926300.5113,4991361.743
1880,2,ОВД Абайского района,ст.188 ч.2,12/11/18 0:00,null,null,545549.5943,4687181.862
1880,3,г.Костанай МВД,ст.188 ч.3,12/10/18 2:00,С.БАЙМАГАМБЕТОВА,169,141006.8573,5909291.631
1880,2,РУВД Турксибского района,ст.188 ч.2,12/10/18 19:00,Чернышевского,15,1146940.713,4819352.669
1880,2,РУВД Турксибского района,ст.188 ч.2,12/7/18 16:00,Сейфуллина,26,1144124.565,4828286.854
1880,2,Зерендинского района РОВД,ст.188 ч.2,12/10/18 23:00,ЮРИЯ ГАГАРИНА,25А,510498.8394,5863597.266
1880,2,РУВД Турксибского района,ст.188 ч.2,12/10/18 12:20,Покрышкина,36,1146022.383,4825635.067
1880,2,Сузакский РОВД,ст.188 ч.1,12/10/18 20:00,АБЫЛАЙ ХАН,10,513652.2308,4845129.025
1880,2,г.Экибастуз ГОВД,ст.188 ч.1,12/8/18 17:45,ШЕШЕМБЕКОВА,13Б,936929.1058,5748756.057
1880,2,УВД Наурызбайского района ДВД города Алматы,ст.188 ч.1,12/10/18 10:00,null,null,1136246.445,4811991.758
1880,2,РУВД Бостандыкского района,ст.188 ч.1,12/10/18 0:52,null,null,1144018.67,4810461.026
1880,2,Заводской ОП г.Актобе,ст.188 ч.2,12/10/18 10:30,null,null,-342492.8211,5640798.946
1900,1,РОП Алмалинского района,ст.190 ч.1,12/10/18 19:40,Толе би,200,1140779.945,4818958.858
1880,2,РОП Алмалинского района,ст.188 ч.1,12/10/18 19:30,Толе би,202,1140753.601,4818969.693
1880,2,РУВД Медеуского района,ст.188 ч.1,12/10/18 14:00,ДОСТЫК,46,1146052.649,4819162.392
1880,2,РУВД Медеуского района,ст.188 ч.1,12/2/18 18:00,Жибек жолы,70,1145155.64,4820693.112
1870,1,РУВД Медеуского района,ст.187 ч.1,12/10/18 15:00,Тулебаева,80/50,1145381.047,4819874.885
1880,2,ГОВД г.Атырау,ст.188 ч.2,12/10/18 16:00,null,null,-798991.008,5362827.672
1880,2,Ескельдинский район МВД,ст.188 ч.1,10/26/18 21:59,САТПАЕВА,119,1249951.346,5016662.774
1880,2,Илийский район МВД,ст.188 ч.1,10/10/18 16:30,null,13,1131570.273,4842835.876
1880,2,Илийский район МВД,ст.188 ч.1,12/3/18 0:00,null,null,1150308.385,4846339.821
1070,1,Тарановский район МВД,ст.107 ч.1,12/7/18 8:00,ВОКЗАЛЬНАЯ,71,66929.7554,5857722.025
1880,2,Заводской ОП г.Актобе,ст.188 ч.1,12/10/18 17:45,null,null,-343021.4064,5638730.376
1880,2,Заводской ОП г.Актобе,ст.188 ч.1,12/10/18 12:30,null,null,-342624.5306,5638706.564
1880,2,Заводской ОП г.Актобе,ст.188 ч.1,12/10/18 19:54,null,null,-342938.0625,5638244.865
1880,2,Тайыншинский район МВД,ст.188 ч.1,12/1/18 23:00,ОКТЯБРЬСКАЯ,10,519973.4491,5965557.363
